time,p00,p01,p10,p11
0,0,0,1,0
0.01,0,0,1.00001,2.5e-05
0.02,0,0,0.999963,0.0001
0.03,0,0,0.999869,0.000224995
0.04,0,0,0.999725,0.000399975
0.05,0,0,0.999531,0.000624922
0.06,0,0,0.999288,0.000899813
0.07,0,0,0.998994,0.00122462
0.08,0,0,0.998651,0.0015993
0.09,0,0,0.998257,0.00202382
0.1,0,0,0.997814,0.00249813
0.11,0,0,0.997322,0.00302216
0.12,0,0,0.996779,0.00359588
0.13,0,0,0.996187,0.00421919
0.14,0,0,0.995546,0.00489204
0.15,0,0,0.994855,0.00561434
0.16,0,0,0.994114,0.00638601
0.17,0,0,0.993324,0.00720695
0.18,0,0,0.992486,0.00807707
0.19,0,0,0.991598,0.00899627
0.2,0,0,0.990661,0.00996442
0.21,0,0,0.989675,0.0109814
0.22,0,0,0.988641,0.0120471
0.23,0,0,0.987558,0.0131615
0.24,0,0,0.986426,0.0143242
0.25,0,0,0.985246,0.0155354
0.26,0,0,0.984018,0.0167946
0.27,0,0,0.982742,0.0181019
0.28,0,0,0.981418,0.0194571
0.29,0,0,0.980047,0.0208599
0.3,0,0,0.978628,0.0223103
0.31,0,0,0.977161,0.023808
0.32,0,0,0.975648,0.0253529
0.33,0,0,0.974087,0.0269448
0.34,0,0,0.97248,0.0285834
0.35,0,0,0.970826,0.0302687
0.36,0,0,0.969125,0.0320003
0.37,0,0,0.967379,0.0337781
0.38,0,0,0.965586,0.0356018
0.39,0,0,0.963748,0.0374712
0.4,0,0,0.961865,0.0393862
0.41,0,0,0.959936,0.0413464
0.42,0,0,0.957962,0.0433516
0.43,0,0,0.955943,0.0454016
0.44,0,0,0.95388,0.0474961
0.45,0,0,0.951772,0.0496348
0.46,0,0,0.949621,0.0518176
0.47,0,0,0.947426,0.0540441
0.48,0,0,0.945187,0.0563141
0.49,0,0,0.942905,0.0586272
0.5,0,0,0.94058,0.0609832
0.51,0,0,0.938213,0.0633819
0.52,0,0,0.935803,0.0658228
0.53,0,0,0.933352,0.0683057
0.54,0,0,0.930859,0.0708304
0.55,0,0,0.928324,0.0733964
0.56,0,0,0.925748,0.0760035
0.57,0,0,0.923131,0.0786514
0.58,0,0,0.920474,0.0813397
0.59,0,0,0.917777,0.084068
0.6,0,0,0.915041,0.0868361
0.61,0,0,0.912264,0.0896437
0.62,0,0,0.909449,0.0924903
0.63,0,0,0.906595,0.0953756
0.64,0,0,0.903703,0.0982993
0.65,0,0,0.900772,0.101261
0.66,0,0,0.897804,0.10426
0.67,0,0,0.894799,0.107297
0.68,0,0,0.891757,0.11037
0.69,0,0,0.888678,0.11348
0.7,0,0,0.885564,0.116626
0.71,0,0,0.882413,0.119808
0.72,0,0,0.879227,0.123025
0.73,0,0,0.876007,0.126277
0.74,0,0,0.872751,0.129564
0.75,0,0,0.869462,0.132884
0.76,0,0,0.866139,0.136239
0.77,0,0,0.862783,0.139627
0.78,0,0,0.859393,0.143047
0.79,0,0,0.855972,0.1465
0.8,0,0,0.852518,0.149985
0.81,0,0,0.849032,0.153502
0.82,0,0,0.845516,0.15705
0.83,0,0,0.841969,0.160628
0.84,0,0,0.838391,0.164237
0.85,0,0,0.834784,0.167876
0.86,0,0,0.831147,0.171544
0.87,0,0,0.827482,0.175241
0.88,0,0,0.823787,0.178966
0.89,0,0,0.820065,0.18272
0.9,0,0,0.816316,0.186501
0.91,0,0,0.812539,0.190309
0.92,0,0,0.808736,0.194143
0.93,0,0,0.804906,0.198004
0.94,0,0,0.801051,0.20189
0.95,0,0,0.797171,0.205802
0.96,0,0,0.793266,0.209738
0.97,0,0,0.789337,0.213698
0.98,0,0,0.785385,0.217682
0.99,0,0,0.781409,0.22169
1,0,0,0.77741,0.22572
1.01,0,0,0.773389,0.229772
1.02,0,0,0.769347,0.233846
1.03,0,0,0.765283,0.237941
1.04,0,0,0.761199,0.242056
1.05,0,0,0.757095,0.246192
1.06,0,0,0.75297,0.250347
1.07,0,0,0.748827,0.254522
1.08,0,0,0.744665,0.258715
1.09,0,0,0.740485,0.262927
1.1,0,0,0.736288,0.267156
1.11,0,0,0.732073,0.271401
1.12,0,0,0.727842,0.275664
1.13,0,0,0.723595,0.279942
1.14,0,0,0.719333,0.284236
1.15,0,0,0.715055,0.288545
1.16,0,0,0.710763,0.292868
1.17,0,0,0.706458,0.297205
1.18,0,0,0.702139,0.301555
1.19,0,0,0.697807,0.305919
1.2,0,0,0.693463,0.310294
1.21,0,0,0.689108,0.314681
1.22,0,0,0.684741,0.319079
1.23,0,0,0.680363,0.323488
1.24,0,0,0.675976,0.327906
1.25,0,0,0.671579,0.332335
1.26,0,0,0.667174,0.336772
1.27,0,0,0.662759,0.341217
1.28,0,0,0.658337,0.34567
1.29,0,0,0.653908,0.350131
1.3,0,0,0.649472,0.354598
1.31,0,0,0.64503,0.359072
1.32,0,0,0.640583,0.363551
1.33,0,0,0.63613,0.368035
1.34,0,0,0.631673,0.372524
1.35,0,0,0.627211,0.377016
1.36,0,0,0.622747,0.381512
1.37,0,0,0.61828,0.386011
1.38,0,0,0.61381,0.390512
1.39,0,0,0.609339,0.395014
1.4,0,0,0.604866,0.399518
1.41,0,0,0.600394,0.404022
1.42,0,0,0.595921,0.408527
1.43,0,0,0.591448,0.41303
1.44,0,0,0.586977,0.417533
1.45,0,0,0.582508,0.422034
1.46,0,0,0.57804,0.426533
1.47,0,0,0.573576,0.431028
1.48,0,0,0.569115,0.435521
1.49,0,0,0.564657,0.44001
1.5,0,0,0.560205,0.444494
1.51,0,0,0.555757,0.448973
1.52,0,0,0.551315,0.453446
1.53,0,0,0.546879,0.457913
1.54,0,0,0.54245,0.462374
1.55,0,0,0.538028,0.466827
1.56,0,0,0.533614,0.471273
1.57,0,0,0.529209,0.47571
1.58,0,0,0.524812,0.480138
1.59,0,0,0.520425,0.484556
1.6,0,0,0.516047,0.488965
1.61,0,0,0.511681,0.493363
1.62,0,0,0.507325,0.49775
1.63,0,0,0.502982,0.502125
1.64,0,0,0.49865,0.506488
1.65,0,0,0.494331,0.510838
1.66,0,0,0.490026,0.515175
1.67,0,0,0.485735,0.519498
1.68,0,0,0.481457,0.523806
1.69,0,0,0.477195,0.5281
1.7,0,0,0.472949,0.532378
1.71,0,0,0.468718,0.53664
1.72,0,0,0.464504,0.540886
1.73,0,0,0.460307,0.545114
1.74,0,0,0.456127,0.549325
1.75,0,0,0.451966,0.553518
1.76,0,0,0.447823,0.557692
1.77,0,0,0.4437,0.561847
1.78,0,0,0.439596,0.565982
1.79,0,0,0.435512,0.570097
1.8,0,0,0.43145,0.574191
1.81,0,0,0.427408,0.578264
1.82,0,0,0.423388,0.582316
1.83,0,0,0.41939,0.586345
1.84,0,0,0.415416,0.590351
1.85,0,0,0.411464,0.594334
1.86,0,0,0.407536,0.598293
1.87,0,0,0.403633,0.602228
1.88,0,0,0.399754,0.606138
1.89,0,0,0.3959,0.610024
1.9,0,0,0.392072,0.613883
1.91,0,0,0.38827,0.617716
1.92,0,0,0.384495,0.621523
1.93,0,0,0.380748,0.625302
1.94,0,0,0.377027,0.629054
1.95,0,0,0.373335,0.632777
1.96,0,0,0.369672,0.636472
1.97,0,0,0.366037,0.640138
1.98,0,0,0.362432,0.643775
1.99,0,0,0.358857,0.647381
2,0,0,0.355312,0.650958
2.01,0,0,0.351798,0.654503
2.02,0,0,0.348315,0.658017
