time,p00,p01,p10,p11
0,0.25,0,0.25,0
0.01,0.25,0,0.249994,6.24993e-06
0.02,0.25,0,0.249975,2.4999e-05
0.03,0.25,0,0.249944,5.62447e-05
0.04,0.25,0,0.2499,9.99833e-05
0.05,0.25,0,0.249844,0.000156209
0.06,0.25,0,0.249775,0.000224916
0.07,0.25,0,0.249694,0.000306094
0.08,0.25,0,0.2496,0.000399733
0.09,0.25,0,0.249494,0.000505823
0.1,0.25,0,0.249376,0.000624349
0.11,0.25,0,0.249245,0.000755297
0.12,0.25,0,0.249101,0.000898651
0.13,0.25,0,0.248946,0.00105439
0.14,0.25,0,0.248777,0.0012225
0.15,0.25,0,0.248597,0.00140296
0.16,0.25,0,0.248404,0.00159574
0.17,0.25,0,0.248199,0.00180082
0.18,0.25,0,0.247982,0.00201817
0.19,0.25,0,0.247752,0.00224778
0.2,0.25,0,0.24751,0.0024896
0.21,0.25,0,0.247256,0.00274361
0.22,0.25,0,0.24699,0.00300978
0.23,0.25,0,0.246712,0.00328807
0.24,0.25,0,0.246422,0.00357845
0.25,0.25,0,0.246119,0.00388088
0.26,0.25,0,0.245805,0.00419533
0.27,0.25,0,0.245478,0.00452176
0.28,0.25,0,0.24514,0.00486011
0.29,0.25,0,0.24479,0.00521036
0.3,0.25,0,0.244428,0.00557246
0.31,0.25,0,0.244054,0.00594637
0.32,0.25,0,0.243668,0.00633202
0.33,0.25,0,0.243271,0.00672939
0.34,0.25,0,0.242862,0.00713842
0.35,0.25,0,0.242441,0.00755905
0.36,0.25,0,0.242009,0.00799124
0.37,0.25,0,0.241565,0.00843493
0.38,0.25,0,0.24111,0.00889006
0.39,0.25,0,0.240643,0.00935659
0.4,0.25,0,0.240166,0.00983444
0.41,0.25,0,0.239676,0.0103236
0.42,0.25,0,0.239176,0.0108239
0.43,0.25,0,0.238665,0.0113354
0.44,0.25,0,0.238142,0.0118579
0.45,0.25,0,0.237608,0.0123915
0.46,0.25,0,0.237064,0.0129361
0.47,0.25,0,0.236509,0.0134915
0.48,0.25,0,0.235942,0.0140577
0.49,0.25,0,0.235365,0.0146347
0.5,0.25,0,0.234778,0.0152223
0.51,0.25,0,0.234179,0.0158206
0.52,0.25,0,0.233571,0.0164293
0.53,0.25,0,0.232951,0.0170485
0.54,0.25,0,0.232322,0.0176781
0.55,0.25,0,0.231682,0.018318
0.56,0.25,0,0.231032,0.018968
0.57,0.25,0,0.230372,0.0196282
0.58,0.25,0,0.229702,0.0202985
0.59,0.25,0,0.229021,0.0209787
0.6,0.25,0,0.228331,0.0216688
0.61,0.25,0,0.227631,0.0223687
0.62,0.25,0,0.226922,0.0230783
0.63,0.25,0,0.226203,0.0237975
0.64,0.25,0,0.225474,0.0245262
0.65,0.25,0,0.224736,0.0252644
0.66,0.25,0,0.223988,0.0260119
0.67,0.25,0,0.223231,0.0267686
0.68,0.25,0,0.222465,0.0275345
0.69,0.25,0,0.221691,0.0283095
0.7,0.25,0,0.220907,0.0290934
0.71,0.25,0,0.220114,0.0298862
0.72,0.25,0,0.219312,0.0306878
0.73,0.25,0,0.218502,0.031498
0.74,0.25,0,0.217683,0.0323168
0.75,0.25,0,0.216856,0.033144
0.76,0.25,0,0.21602,0.0339796
0.77,0.25,0,0.215177,0.0348234
0.78,0.25,0,0.214325,0.0356754
0.79,0.25,0,0.213465,0.0365355
0.8,0.25,0,0.212597,0.0374034
0.81,0.25,0,0.211721,0.0382792
0.82,0.25,0,0.210837,0.0391627
0.83,0.25,0,0.209946,0.0400539
0.84,0.25,0,0.209048,0.0409525
0.85,0.25,0,0.208142,0.0418584
0.86,0.25,0,0.207228,0.0427717
0.87,0.25,0,0.206308,0.0436921
0.88,0.25,0,0.20538,0.0446196
0.89,0.25,0,0.204446,0.0455539
0.9,0.25,0,0.203505,0.0464951
0.91,0.25,0,0.202557,0.047443
0.92,0.25,0,0.201603,0.0483974
0.93,0.25,0,0.200642,0.0493583
0.94,0.25,0,0.199675,0.0503255
0.95,0.25,0,0.198701,0.0512989
0.96,0.25,0,0.197722,0.0522784
0.97,0.25,0,0.196736,0.0532639
0.98,0.25,0,0.195745,0.0542552
0.99,0.25,0,0.194748,0.0552523
1,0.25,0,0.193745,0.0562549
1.01,0.25,0,0.192737,0.057263
1.02,0.25,0,0.191724,0.0582764
1.03,0.25,0,0.190705,0.0592951
1.04,0.25,0,0.189681,0.0603188
1.05,0.25,0,0.188652,0.0613475
1.06,0.25,0,0.187619,0.062381
1.07,0.25,0,0.186581,0.0634193
1.08,0.25,0,0.185538,0.0644621
1.09,0.25,0,0.184491,0.0655093
1.1,0.25,0,0.183439,0.0665609
1.11,0.25,0,0.182383,0.0676166
1.12,0.25,0,0.181324,0.0686764
1.13,0.25,0,0.18026,0.0697401
1.14,0.25,0,0.179192,0.0708076
1.15,0.25,0,0.178121,0.0718788
1.16,0.25,0,0.177047,0.0729534
1.17,0.25,0,0.175969,0.0740314
1.18,0.25,0,0.174887,0.0751127
1.19,0.25,0,0.173803,0.0761971
1.2,0.25,0,0.172716,0.0772845
1.21,0.25,0,0.171625,0.0783747
1.22,0.25,0,0.170532,0.0794676
1.23,0.25,0,0.169437,0.0805631
1.24,0.25,0,0.168339,0.081661
1.25,0.25,0,0.167239,0.0827612
1.26,0.25,0,0.166136,0.0838635
1.27,0.25,0,0.165032,0.0849679
1.28,0.25,0,0.163926,0.0860741
1.29,0.25,0,0.162818,0.0871821
