time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
0,-6.38998e-09,-0.00100004,0.999999,0,0,1,0,0,1
0.001,-3.83126e-09,-0.00201081,0.999998,0,0,1,0,0,1
0.002,-3.49152e-08,-0.00301937,0.999995,0,0,1,0,0,1
0.003,-1.18758e-07,-0.00401725,0.999992,0,0,1,0,0,1
0.004,-2.35357e-07,-0.00500488,0.999987,0,0,1,0,0,1
0.005,-3.78386e-07,-0.00599069,0.999982,0,0,1,0,0,1
0.006,-5.46182e-07,-0.00698891,0.999976,0,0,1,0,0,1
0.007,-6.8108e-07,-0.00798662,0.999968,0,0,1,0,0,1
0.008,-7.32584e-07,-0.00898582,0.99996,0,0,1,0,0,1
0.009,-8.39116e-07,-0.00998201,0.99995,0,0,1,0,0,1
0.01,-8.32597e-07,-0.0109832,0.99994,0,0,1,0,0,1
0.011,-8.20382e-07,-0.0119718,0.999928,0,0,1,0,0,1
0.012,-9.11407e-07,-0.012941,0.999916,0,0,1,0,0,1
0.013,-1.1861e-06,-0.013913,0.999903,0,0,1,0,0,1
0.014,-1.69247e-06,-0.0148872,0.999889,0,0,1,0,0,1
0.015,-2.22943e-06,-0.0158609,0.999874,0,0,1,0,0,1
0.016,-2.87311e-06,-0.0168171,0.999859,0,0,1,0,0,1
0.017,-3.60297e-06,-0.017769,0.999842,0,0,1,0,0,1
0.018,-4.32754e-06,-0.0187326,0.999825,0,0,1,0,0,1
0.019,-5.09353e-06,-0.0196917,0.999806,0,0,1,0,0,1
0.02,-5.82756e-06,-0.0206572,0.999787,0,0,1,0,0,1
0.021,-6.41603e-06,-0.0216187,0.999766,0,0,1,0,0,1
0.022,-7.10802e-06,-0.0225782,0.999745,0,0,1,0,0,1
0.023,-7.64115e-06,-0.0235424,0.999723,0,0,1,0,0,1
0.024,-8.19311e-06,-0.0244905,0.9997,0,0,1,0,0,1
0.025,-8.54887e-06,-0.0254236,0.999677,0,0,1,0,0,1
0.026,-9.19622e-06,-0.0263556,0.999653,0,0,1,0,0,1
0.027,-1.00008e-05,-0.0272919,0.999628,0,0,1,0,0,1
0.028,-1.10361e-05,-0.028223,0.999602,0,0,1,0,0,1
0.029,-1.23694e-05,-0.0291477,0.999575,0,0,1,0,0,1
0.03,-1.38567e-05,-0.0300637,0.999548,0,0,1,0,0,1
0.031,-1.54147e-05,-0.030977,0.99952,0,0,1,0,0,1
0.032,-1.7406e-05,-0.0318806,0.999492,0,0,1,0,0,1
0.033,-1.94158e-05,-0.0327859,0.999462,0,0,1,0,0,1
0.034,-2.1871e-05,-0.0336984,0.999432,0,0,1,0,0,1
0.035,-2.4403e-05,-0.0345941,0.999401,0,0,1,0,0,1
0.036,-2.71986e-05,-0.0354871,0.99937,0,0,1,0,0,1
0.037,-2.97603e-05,-0.0363784,0.999338,0,0,1,0,0,1
0.038,-3.26909e-05,-0.0372711,0.999305,0,0,1,0,0,1
0.039,-3.60552e-05,-0.038163,0.999272,0,0,1,0,0,1
0.04,-3.89862e-05,-0.0390481,0.999237,0,0,1,0,0,1
0.041,-4.16223e-05,-0.0399219,0.999203,0,0,1,0,0,1
0.042,-4.37666e-05,-0.0408092,0.999167,0,0,1,0,0,1
0.043,-4.59548e-05,-0.0416956,0.99913,0,0,1,0,0,1
0.044,-4.77517e-05,-0.0425897,0.999093,0,0,1,0,0,1
0.045,-4.92566e-05,-0.0434985,0.999053,0,0,1,0,0,1
0.046,-5.00666e-05,-0.044421,0.999013,0,0,1,0,0,1
0.047,-5.07115e-05,-0.0453262,0.998972,0,0,1,0,0,1
0.048,-5.14078e-05,-0.0462317,0.998931,0,0,1,0,0,1
0.049,-5.21548e-05,-0.047141,0.998888,0,0,1,0,0,1
0.05,-5.30146e-05,-0.0480434,0.998845,0,0,1,0,0,1
0.051,-5.38274e-05,-0.0489458,0.998801,0,0,1,0,0,1
0.052,-5.45403e-05,-0.0498535,0.998757,0,0,1,0,0,1
0.053,-5.52512e-05,-0.0507627,0.998711,0,0,1,0,0,1
0.054,-5.62556e-05,-0.0516723,0.998664,0,0,1,0,0,1
0.055,-5.76545e-05,-0.052579,0.998617,0,0,1,0,0,1
0.056,-5.95365e-05,-0.0534733,0.998569,0,0,1,0,0,1
0.057,-6.13983e-05,-0.0543512,0.998522,0,0,1,0,0,1
0.058,-6.3045e-05,-0.0552373,0.998473,0,0,1,0,0,1
0.059,-6.46394e-05,-0.056108,0.998425,0,0,1,0,0,1
0.06,-6.54147e-05,-0.0569821,0.998375,0,0,1,0,0,1
0.061,-6.61653e-05,-0.0578582,0.998325,0,0,1,0,0,1
0.062,-6.61222e-05,-0.0587439,0.998273,0,0,1,0,0,1
0.063,-6.61343e-05,-0.0596139,0.998222,0,0,1,0,0,1
0.064,-6.53377e-05,-0.0604883,0.998169,0,0,1,0,0,1
0.065,-6.53207e-05,-0.0613662,0.998115,0,0,1,0,0,1
0.066,-6.56213e-05,-0.0622418,0.998061,0,0,1,0,0,1
0.067,-6.53409e-05,-0.0631067,0.998007,0,0,1,0,0,1
0.068,-6.4079e-05,-0.0639788,0.997951,0,0,1,0,0,1
0.069,-6.31073e-05,-0.0648548,0.997895,0,0,1,0,0,1
0.07,-6.22006e-05,-0.0657366,0.997837,0,0,1,0,0,1
0.071,-6.06736e-05,-0.0666224,0.997778,0,0,1,0,0,1
0.072,-5.97125e-05,-0.0675122,0.997718,0,0,1,0,0,1
0.073,-6.0357e-05,-0.0684099,0.997657,0,0,1,0,0,1
0.074,-6.1694e-05,-0.0693023,0.997596,0,0,1,0,0,1
0.075,-6.19388e-05,-0.0701975,0.997533,0,0,1,0,0,1
0.076,-6.19924e-05,-0.0710863,0.99747,0,0,1,0,0,1
0.077,-6.18055e-05,-0.0719741,0.997406,0,0,1,0,0,1
0.078,-6.19008e-05,-0.0728614,0.997342,0,0,1,0,0,1
0.079,-6.30358e-05,-0.0737493,0.997277,0,0,1,0,0,1
0.08,-6.43193e-05,-0.0746261,0.997212,0,0,1,0,0,1
0.081,-6.43908e-05,-0.0755027,0.997146,0,0,1,0,0,1
0.082,-6.38054e-05,-0.076382,0.997079,0,0,1,0,0,1
0.083,-6.29685e-05,-0.0772436,0.997012,0,0,1,0,0,1
0.084,-6.20741e-05,-0.0780987,0.996946,0,0,1,0,0,1
0.085,-6.04321e-05,-0.0789535,0.996878,0,0,1,0,0,1
0.086,-5.92264e-05,-0.0798073,0.99681,0,0,1,0,0,1
0.087,-5.77968e-05,-0.0806644,0.996741,0,0,1,0,0,1
0.088,-5.71267e-05,-0.0815331,0.996671,0,0,1,0,0,1
0.089,-5.60229e-05,-0.0824008,0.996599,0,0,1,0,0,1
0.09,-5.56345e-05,-0.0832775,0.996526,0,0,1,0,0,1
0.091,-5.53928e-05,-0.0841515,0.996453,0,0,1,0,0,1
0.092,-5.47932e-05,-0.0850321,0.996378,0,0,1,0,0,1
0.093,-5.38538e-05,-0.0858937,0.996304,0,0,1,0,0,1
0.094,-5.257e-05,-0.0867546,0.99623,0,0,1,0,0,1
