time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z
0,0.00901598,4.62588e-08,0.999959,0,0,1,0,0,1,0,0,1
0.01,0.0193616,7.14622e-07,0.999813,0,0,1,0,0,1,0,0,1
0.02,0.0283322,2.16603e-06,0.999599,0,0,1,0,0,1,0,0,1
0.03,0.0390577,9.30775e-06,0.999237,0,0,1,0,0,1,0,0,1
0.04,0.0491237,1.00037e-05,0.998793,0,0,1,0,0,1,0,0,1
0.05,0.0583658,3.49286e-06,0.998295,0,0,1,0,0,1,0,0,1
0.06,0.0675863,-1.14163e-05,0.997713,0,0,1,0,0,1,0,0,1
0.07,0.0766824,-3.61247e-05,0.997056,0,0,1,0,0,1,0,0,1
0.08,0.0867683,-7.07645e-05,0.996229,0,0,1,0,0,1,0,0,1
0.09,0.0959656,-9.33648e-05,0.995385,0,0,1,0,0,1,0,0,1
0.1,0.10561,-0.000126064,0.994408,0,0,1,0,0,1,0,0,1
0.11,0.115119,-0.000148222,0.993352,0,0,1,0,0,1,0,0,1
0.12,0.123982,-0.000181458,0.992284,0,0,1,0,0,1,0,0,1
0.13,0.134296,-0.000207713,0.990941,0,0,1,0,0,1,0,0,1
0.14,0.142008,-0.000230833,0.989865,0,0,1,0,0,1,0,0,1
0.15,0.150282,-0.000253762,0.988643,0,0,1,0,0,1,0,0,1
0.16,0.158276,-0.000288237,0.987395,0,0,1,0,0,1,0,0,1
0.17,0.165448,-0.000325064,0.986218,0,0,1,0,0,1,0,0,1
0.18,0.172309,-0.000389319,0.985043,0,0,1,0,0,1,0,0,1
0.19,0.177876,-0.000447806,0.984053,0,0,1,0,0,1,0,0,1
0.2,0.183145,-0.000493344,0.983086,0,0,1,0,0,1,0,0,1
0.21,0.188025,-0.000530537,0.982164,0,0,1,0,0,1,0,0,1
0.22,0.193358,-0.000593223,0.981128,0,0,1,0,0,1,0,0,1
0.23,0.199267,-0.000656958,0.979945,0,0,1,0,0,1,0,0,1
0.24,0.204667,-0.000717171,0.978831,0,0,1,0,0,1,0,0,1
0.25,0.211078,-0.000779052,0.977469,0,0,1,0,0,1,0,0,1
0.26,0.215553,-0.000843813,0.976492,0,0,1,0,0,1,0,0,1
0.27,0.220808,-0.000912885,0.975317,0,0,1,0,0,1,0,0,1
0.28,0.226541,-0.000978627,0.974001,0,0,1,0,0,1,0,0,1
0.29,0.233106,-0.00104856,0.972451,0,0,1,0,0,1,0,0,1
0.3,0.239351,-0.0011513,0.970933,0,0,1,0,0,1,0,0,1
0.31,0.246525,-0.00126248,0.969136,0,0,1,0,0,1,0,0,1
0.32,0.252503,-0.00134209,0.967595,0,0,1,0,0,1,0,0,1
0.33,0.258648,-0.00141965,0.965971,0,0,1,0,0,1,0,0,1
0.34,0.266012,-0.00146427,0.963969,0,0,1,0,0,1,0,0,1
0.35,0.272169,-0.00150838,0.962248,0,0,1,0,0,1,0,0,1
0.36,0.278825,-0.00149558,0.960341,0,0,1,0,0,1,0,0,1
0.37,0.286185,-0.00152785,0.958173,0,0,1,0,0,1,0,0,1
0.38,0.29301,-0.00158551,0.956108,0,0,1,0,0,1,0,0,1
0.39,0.298586,-0.0016484,0.954381,0,0,1,0,0,1,0,0,1
0.4,0.304366,-0.00172537,0.952554,0,0,1,0,0,1,0,0,1
0.41,0.312202,-0.00178745,0.950014,0,0,1,0,0,1,0,0,1
0.42,0.319697,-0.00186797,0.947518,0,0,1,0,0,1,0,0,1
0.43,0.325606,-0.00197599,0.945503,0,0,1,0,0,1,0,0,1
0.44,0.332231,-0.00209608,0.943196,0,0,1,0,0,1,0,0,1
0.45,0.337879,-0.00225136,0.941187,0,0,1,0,0,1,0,0,1
0.46,0.344125,-0.00242724,0.938921,0,0,1,0,0,1,0,0,1
0.47,0.349471,-0.0026227,0.936944,0,0,1,0,0,1,0,0,1
0.48,0.354782,-0.00282281,0.934945,0,0,1,0,0,1,0,0,1
0.49,0.359909,-0.00306339,0.932982,0,0,1,0,0,1,0,0,1
0.5,0.364824,-0.00334195,0.931071,0,0,1,0,0,1,0,0,1
0.51,0.370222,-0.00366841,0.928936,0,0,1,0,0,1,0,0,1
0.52,0.376057,-0.00395692,0.926588,0,0,1,0,0,1,0,0,1
0.53,0.382169,-0.00420196,0.924083,0,0,1,0,0,1,0,0,1
0.54,0.389585,-0.00444101,0.92098,0,0,1,0,0,1,0,0,1
0.55,0.397588,-0.00468682,0.917552,0,0,1,0,0,1,0,0,1
0.56,0.404861,-0.00497775,0.914365,0,0,1,0,0,1,0,0,1
0.57,0.413877,-0.00531967,0.910317,0,0,1,0,0,1,0,0,1
0.58,0.423393,-0.00567746,0.905928,0,0,1,0,0,1,0,0,1
0.59,0.433015,-0.0059948,0.901367,0,0,1,0,0,1,0,0,1
0.6,0.442087,-0.00633234,0.89695,0,0,1,0,0,1,0,0,1
0.61,0.451784,-0.00673999,0.892102,0,0,1,0,0,1,0,0,1
0.62,0.460806,-0.00717519,0.887472,0,0,1,0,0,1,0,0,1
0.63,0.469319,-0.00771612,0.882995,0,0,1,0,0,1,0,0,1
0.64,0.477215,-0.00826358,0.878748,0,0,1,0,0,1,0,0,1
0.65,0.485141,-0.00875527,0.874392,0,0,1,0,0,1,0,0,1
0.66,0.493017,-0.00927923,0.86997,0,0,1,0,0,1,0,0,1
0.67,0.500312,-0.00978143,0.86579,0,0,1,0,0,1,0,0,1
0.68,0.507152,-0.0103246,0.861795,0,0,1,0,0,1,0,0,1
0.69,0.512984,-0.0109484,0.858328,0,0,1,0,0,1,0,0,1
0.7,0.519409,-0.0115593,0.854448,0,0,1,0,0,1,0,0,1
0.71,0.52551,-0.0122279,0.8507,0,0,1,0,0,1,0,0,1
0.72,0.530622,-0.012906,0.84751,0,0,1,0,0,1,0,0,1
0.73,0.535766,-0.013532,0.844258,0,0,1,0,0,1,0,0,1
0.74,0.540791,-0.0142053,0.841037,0,0,1,0,0,1,0,0,1
0.75,0.545613,-0.0149085,0.837905,0,0,1,0,0,1,0,0,1
0.76,0.551012,-0.0156296,0.834351,0,0,1,0,0,1,0,0,1
0.77,0.555257,-0.016408,0.831517,0,0,1,0,0,1,0,0,1
0.78,0.559923,-0.0172663,0.828365,0,0,1,0,0,1,0,0,1
0.79,0.565388,-0.0181465,0.824625,0,0,1,0,0,1,0,0,1
0.8,0.573359,-0.0190479,0.819083,0,0,1,0,0,1,0,0,1
0.81,0.580252,-0.0200017,0.814192,0,0,1,0,0,1,0,0,1
0.82,0.587625,-0.0209502,0.808862,0,0,1,0,0,1,0,0,1
0.83,0.595808,-0.0218723,0.802829,0,0,1,0,0,1,0,0,1
0.84,0.603583,-0.0226998,0.796977,0,0,1,0,0,1,0,0,1
0.85,0.611051,-0.023578,0.79124,0,0,1,0,0,1,0,0,1
0.86,0.618831,-0.0244943,0.785142,0,0,1,0,0,1,0,0,1
0.87,0.626258,-0.0254984,0.779199,0,0,1,0,0,1,0,0,1
0.88,0.633277,-0.026654,0.773466,0,0,1,0,0,1,0,0,1
0.89,0.639944,-0.0277439,0.767921,0,0,1,0,0,1,0,0,1
0.9,0.64666,-0.028796,0.762234,0,0,1,0,0,1,0,0,1
0.91,0.65212,-0.0298692,0.757527,0,0,1,0,0,1,0,0,1
0.92,0.658066,-0.0308616,0.752328,0,0,1,0,0,1,0,0,1
0.93,0.66471,-0.031809,0.746424,0,0,1,0,0,1,0,0,1
0.94,0.671172,-0.0328106,0.740575,0,0,1,0,0,1,0,0,1
0.95,0.678143,-0.0337535,0.734155,0,0,1,0,0,1,0,0,1
0.96,0.684346,-0.0346705,0.728332,0,0,1,0,0,1,0,0,1
0.97,0.692265,-0.0356412,0.720762,0,0,1,0,0,1,0,0,1
0.98,0.700045,-0.0366594,0.713157,0,0,1,0,0,1,0,0,1
0.99,0.707611,-0.0378265,0.705589,0,0,1,0,0,1,0,0,1
1,0.715095,-0.0391118,0.697932,0,0,1,0,0,1,0,0,1
1.01,0.722811,-0.0404387,0.689862,0,0,1,0,0,1,0,0,1
1.02,0.730421,-0.0417613,0.68172,0,0,1,0,0,1,0,0,1
1.03,0.737537,-0.0429472,0.67394,0,0,1,0,0,1,0,0,1
1.04,0.744375,-0.0442443,0.666294,0,0,1,0,0,1,0,0,1
1.05,0.751522,-0.045427,0.658143,0,0,1,0,0,1,0,0,1
1.06,0.758315,-0.0463876,0.650236,0,0,1,0,0,1,0,0,1
1.07,0.764091,-0.0472727,0.643374,0,0,1,0,0,1,0,0,1
1.08,0.769077,-0.0482907,0.637329,0,0,1,0,0,1,0,0,1
1.09,0.773991,-0.0492256,0.63128,0,0,1,0,0,1,0,0,1
1.1,0.780243,-0.0500955,0.623467,0,0,1,0,0,1,0,0,1
1.11,0.786673,-0.0510147,0.615259,0,0,1,0,0,1,0,0,1
1.12,0.793649,-0.0520147,0.606148,0,0,1,0,0,1,0,0,1
1.13,0.801574,-0.0529975,0.595542,0,0,1,0,0,1,0,0,1
1.14,0.808898,-0.0539671,0.585467,0,0,1,0,0,1,0,0,1
1.15,0.81652,-0.0551053,0.574681,0,0,1,0,0,1,0,0,1
1.16,0.82469,-0.0563971,0.562766,0,0,1,0,0,1,0,0,1
1.17,0.831555,-0.0577748,0.55243,0,0,1,0,0,1,0,0,1
1.18,0.839165,-0.0591743,0.540648,0,0,1,0,0,1,0,0,1
1.19,0.846414,-0.0605354,0.529074,0,0,1,0,0,1,0,0,1
1.2,0.854038,-0.0619274,0.516511,0,0,1,0,0,1,0,0,1
1.21,0.862144,-0.0634321,0.502676,0,0,1,0,0,1,0,0,1
1.22,0.869619,-0.0649426,0.489433,0,0,1,0,0,1,0,0,1
1.23,0.876643,-0.0662676,0.476557,0,0,1,0,0,1,0,0,1
1.24,0.882796,-0.067465,0.464887,0,0,1,0,0,1,0,0,1
1.25,0.888745,-0.0686131,0.453237,0,0,1,0,0,1,0,0,1
1.26,0.894255,-0.0696908,0.442099,0,0,1,0,0,1,0,0,1
1.27,0.899725,-0.0705235,0.430723,0,0,1,0,0,1,0,0,1
1.28,0.904968,-0.0713543,0.419455,0,0,1,0,0,1,0,0,1
1.29,0.909645,-0.0722017,0.409064,0,0,1,0,0,1,0,0,1
1.3,0.914445,-0.0728748,0.398094,0,0,1,0,0,1,0,0,1
1.31,0.918369,-0.0735177,0.388836,0,0,1,0,0,1,0,0,1
1.32,0.922875,-0.0741623,0.377891,0,0,1,0,0,1,0,0,1
1.33,0.927834,-0.0748304,0.365409,0,0,1,0,0,1,0,0,1
1.34,0.932451,-0.075538,0.353311,0,0,1,0,0,1,0,0,1
1.35,0.937084,-0.0762465,0.340677,0,0,1,0,0,1,0,0,1
1.36,0.941242,-0.0770944,0.328815,0,0,1,0,0,1,0,0,1
1.37,0.945353,-0.0779506,0.316595,0,0,1,0,0,1,0,0,1
1.38,0.949262,-0.0787174,0.304476,0,0,1,0,0,1,0,0,1
1.39,0.952977,-0.0793583,0.292469,0,0,1,0,0,1,0,0,1
1.4,0.95675,-0.0799688,0.279706,0,0,1,0,0,1,0,0,1
1.41,0.960506,-0.0805604,0.266341,0,0,1,0,0,1,0,0,1
1.42,0.963896,-0.081027,0.253652,0,0,1,0,0,1,0,0,1
1.43,0.966805,-0.0815461,0.242152,0,0,1,0,0,1,0,0,1
1.44,0.969431,-0.0821187,0.231213,0,0,1,0,0,1,0,0,1
1.45,0.972181,-0.0823584,0.219275,0,0,1,0,0,1,0,0,1
1.46,0.97412,-0.0827774,0.210328,0,0,1,0,0,1,0,0,1
1.47,0.976099,-0.0832591,0.200746,0,0,1,0,0,1,0,0,1
1.48,0.977743,-0.0836269,0.192419,0,0,1,0,0,1,0,0,1
1.49,0.979206,-0.0838511,0.184731,0,0,1,0,0,1,0,0,1
1.5,0.980586,-0.0839817,0.177194,0,0,1,0,0,1,0,0,1
1.51,0.981743,-0.0842015,0.170561,0,0,1,0,0,1,0,0,1
1.52,0.982858,-0.0843627,0.163933,0,0,1,0,0,1,0,0,1
1.53,0.983996,-0.0846107,0.156821,0,0,1,0,0,1,0,0,1
1.54,0.985057,-0.0848885,0.149859,0,0,1,0,0,1,0,0,1
1.55,0.986056,-0.0851711,0.142967,0,0,1,0,0,1,0,0,1
1.56,0.987137,-0.0853552,0.135187,0,0,1,0,0,1,0,0,1
1.57,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.57,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.58,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.59,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.6,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.61,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.62,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.63,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.64,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.65,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.66,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.67,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.68,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
1.69,0.988065,-0.0853738,0.128214,0,0,1,0,0,1,0,0,1
