time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
0,-6.82858e-07,-0.00991478,0.999951,0,0,1,0,0,1
0.01,-2.54001e-06,-0.0197597,0.999805,0,0,1,0,0,1
0.02,-1.80957e-06,-0.0296081,0.999562,0,0,1,0,0,1
0.03,3.59187e-06,-0.0393854,0.999224,0,0,1,0,0,1
0.04,1.33799e-05,-0.0490863,0.998795,0,0,1,0,0,1
0.05,1.94021e-05,-0.058796,0.99827,0,0,1,0,0,1
0.06,2.41199e-05,-0.0683757,0.99766,0,0,1,0,0,1
0.07,3.30279e-05,-0.0779435,0.996958,0,0,1,0,0,1
0.08,4.84261e-05,-0.0874429,0.99617,0,0,1,0,0,1
0.09,6.84642e-05,-0.0969232,0.995292,0,0,1,0,0,1
0.1,9.09118e-05,-0.106429,0.99432,0,0,1,0,0,1
0.11,0.00012677,-0.115867,0.993265,0,0,1,0,0,1
0.12,0.000160798,-0.125375,0.992109,0,0,1,0,0,1
0.13,0.000195865,-0.134963,0.990851,0,0,1,0,0,1
0.14,0.00024858,-0.144494,0.989506,0,0,1,0,0,1
0.15,0.000302545,-0.154153,0.988047,0,0,1,0,0,1
0.16,0.000372115,-0.163671,0.986515,0,0,1,0,0,1
0.17,0.000452841,-0.17341,0.98485,0,0,1,0,0,1
0.18,0.000594503,-0.182949,0.983122,0,0,1,0,0,1
0.19,0.000708869,-0.192672,0.981263,0,0,1,0,0,1
0.2,0.000858772,-0.202442,0.979294,0,0,1,0,0,1
0.21,0.0010282,-0.212088,0.97725,0,0,1,0,0,1
0.22,0.00119837,-0.221754,0.975102,0,0,1,0,0,1
0.23,0.0013838,-0.231355,0.972868,0,0,1,0,0,1
0.24,0.00157691,-0.240882,0.970553,0,0,1,0,0,1
0.25,0.00176687,-0.250387,0.968144,0,0,1,0,0,1
0.26,0.00195431,-0.259912,0.96563,0,0,1,0,0,1
0.27,0.00215255,-0.269515,0.962994,0,0,1,0,0,1
0.28,0.00237796,-0.279046,0.960275,0,0,1,0,0,1
0.29,0.00254266,-0.288523,0.95747,0,0,1,0,0,1
0.3,0.00269785,-0.297939,0.954581,0,0,1,0,0,1
0.31,0.00284281,-0.307438,0.951564,0,0,1,0,0,1
0.32,0.00298651,-0.316896,0.948456,0,0,1,0,0,1
0.33,0.00314515,-0.326379,0.945234,0,0,1,0,0,1
0.34,0.00334723,-0.335693,0.941965,0,0,1,0,0,1
0.35,0.00347645,-0.345164,0.938536,0,0,1,0,0,1
0.36,0.00360717,-0.354525,0.93504,0,0,1,0,0,1
0.37,0.00369789,-0.363696,0.93151,0,0,1,0,0,1
0.38,0.00380874,-0.372879,0.927872,0,0,1,0,0,1
0.39,0.00395292,-0.382021,0.924145,0,0,1,0,0,1
0.4,0.00408946,-0.390968,0.920395,0,0,1,0,0,1
0.41,0.00429411,-0.39988,0.916557,0,0,1,0,0,1
0.42,0.00449,-0.408644,0.912683,0,0,1,0,0,1
0.43,0.00472073,-0.417478,0.908675,0,0,1,0,0,1
0.44,0.00495327,-0.426374,0.904534,0,0,1,0,0,1
0.45,0.00520684,-0.435339,0.900252,0,0,1,0,0,1
0.46,0.00548487,-0.444177,0.895922,0,0,1,0,0,1
0.47,0.00578268,-0.452915,0.891535,0,0,1,0,0,1
0.48,0.00611467,-0.4617,0.887015,0,0,1,0,0,1
0.49,0.00639378,-0.47042,0.88242,0,0,1,0,0,1
0.5,0.00664434,-0.479278,0.877638,0,0,1,0,0,1
0.51,0.00685512,-0.487939,0.872851,0,0,1,0,0,1
0.52,0.00701519,-0.496471,0.868025,0,0,1,0,0,1
0.53,0.00712726,-0.504867,0.863168,0,0,1,0,0,1
0.54,0.00721747,-0.513203,0.858237,0,0,1,0,0,1
0.55,0.00723952,-0.521372,0.853299,0,0,1,0,0,1
0.56,0.00732906,-0.529451,0.848309,0,0,1,0,0,1
0.57,0.00740266,-0.537465,0.843253,0,0,1,0,0,1
0.58,0.0074706,-0.545387,0.838151,0,0,1,0,0,1
0.59,0.00748214,-0.553288,0.832956,0,0,1,0,0,1
0.6,0.00752559,-0.561151,0.82768,0,0,1,0,0,1
0.61,0.00746766,-0.56906,0.822262,0,0,1,0,0,1
0.62,0.00735424,-0.576923,0.816766,0,0,1,0,0,1
0.63,0.00722776,-0.584588,0.811298,0,0,1,0,0,1
0.64,0.00724584,-0.592026,0.805886,0,0,1,0,0,1
0.65,0.00727707,-0.59941,0.800409,0,0,1,0,0,1
0.66,0.00729139,-0.606684,0.79491,0,0,1,0,0,1
0.67,0.00718141,-0.613924,0.789332,0,0,1,0,0,1
0.68,0.0071348,-0.621061,0.78373,0,0,1,0,0,1
0.69,0.00718924,-0.62816,0.778051,0,0,1,0,0,1
0.7,0.0073498,-0.635112,0.772385,0,0,1,0,0,1
0.71,0.0073851,-0.642171,0.766526,0,0,1,0,0,1
0.72,0.00740261,-0.649052,0.760708,0,0,1,0,0,1
0.73,0.00745269,-0.656014,0.754712,0,0,1,0,0,1
0.74,0.00737635,-0.66305,0.748539,0,0,1,0,0,1
0.75,0.0074603,-0.669938,0.74238,0,0,1,0,0,1
0.76,0.00741786,-0.676872,0.736063,0,0,1,0,0,1
0.77,0.00743279,-0.683803,0.729629,0,0,1,0,0,1
0.78,0.00751539,-0.690662,0.723138,0,0,1,0,0,1
0.79,0.0074862,-0.697646,0.716404,0,0,1,0,0,1
0.8,0.00743915,-0.704562,0.709604,0,0,1,0,0,1
0.81,0.00737891,-0.711439,0.702709,0,0,1,0,0,1
0.82,0.00735678,-0.718211,0.695787,0,0,1,0,0,1
0.83,0.00742872,-0.724832,0.688885,0,0,1,0,0,1
