time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0,9.77063e-07,-0.00993166,0.999951,9.77063e-07,-0.00993166,0.999951,9.77063e-07,-0.00993166,0.999951,9.77063e-07,-0.00993166,0.999951,9.77063e-07,-0.00993166,0.999951
0.01,3.34403e-06,-0.01971,0.999806,3.34403e-06,-0.01971,0.999806,3.34403e-06,-0.01971,0.999806,3.34403e-06,-0.01971,0.999806,3.34403e-06,-0.01971,0.999806
0.02,1.13667e-05,-0.0294584,0.999566,1.13667e-05,-0.0294584,0.999566,1.13667e-05,-0.0294584,0.999566,1.13667e-05,-0.0294584,0.999566,1.13667e-05,-0.0294584,0.999566
0.03,2.57907e-05,-0.0391448,0.999234,2.57907e-05,-0.0391448,0.999234,2.57907e-05,-0.0391448,0.999234,2.57907e-05,-0.0391448,0.999234,2.57907e-05,-0.0391448,0.999234
0.04,3.98939e-05,-0.0489699,0.9988,3.98939e-05,-0.0489699,0.9988,3.98939e-05,-0.0489699,0.9988,3.98939e-05,-0.0489699,0.9988,3.98939e-05,-0.0489699,0.9988
0.05,5.35829e-05,-0.0586453,0.998279,5.35829e-05,-0.0586453,0.998279,5.35829e-05,-0.0586453,0.998279,5.35829e-05,-0.0586453,0.998279,5.35829e-05,-0.0586453,0.998279
0.06,5.85568e-05,-0.0683355,0.997662,5.85568e-05,-0.0683355,0.997662,5.85568e-05,-0.0683355,0.997662,5.85568e-05,-0.0683355,0.997662,5.85568e-05,-0.0683355,0.997662
0.07,6.70835e-05,-0.0780917,0.996946,6.70835e-05,-0.0780917,0.996946,6.70835e-05,-0.0780917,0.996946,6.70835e-05,-0.0780917,0.996946,6.70835e-05,-0.0780917,0.996946
0.08,7.10494e-05,-0.087781,0.99614,7.10494e-05,-0.087781,0.99614,7.10494e-05,-0.087781,0.99614,7.10494e-05,-0.087781,0.99614,7.10494e-05,-0.087781,0.99614
0.09,8.77721e-05,-0.0975272,0.995233,8.77721e-05,-0.0975272,0.995233,8.77721e-05,-0.0975272,0.995233,8.77721e-05,-0.0975272,0.995233,8.77721e-05,-0.0975272,0.995233
0.1,8.91161e-05,-0.107252,0.994232,8.91161e-05,-0.107252,0.994232,8.91161e-05,-0.107252,0.994232,8.91161e-05,-0.107252,0.994232,8.91161e-05,-0.107252,0.994232
