time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
0.08,1.23613e-05,-0.0888205,0.996048,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.18,0.000149879,-0.18638,0.982478,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.28,0.000985896,-0.278554,0.96042,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.38,0.00230922,-0.370311,0.928905,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.48,0.00387957,-0.460937,0.887424,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.58,0.00638618,-0.546193,0.837635,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.68,0.0081034,-0.626048,0.779743,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.78,0.0100574,-0.700759,0.713327,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.88,0.010385,-0.769449,0.638624,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0.98,0.00816973,-0.830044,0.557638,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.08,0.00544739,-0.880725,0.473597,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.18,0.00660821,-0.923303,0.384016,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.28,0.0118321,-0.95683,0.290406,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.38,0.0143481,-0.981005,0.19345,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.48,0.0150688,-0.995169,0.0970149,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.58,0.0158616,-0.999871,-0.00271808,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.68,0.0151585,-0.99485,-0.100216,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.78,0.014896,-0.980221,-0.197345,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.88,0.00961181,-0.956552,-0.291402,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.98,0.00261121,-0.923994,-0.382399,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.08,-0.00665587,-0.882433,-0.47039,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.18,-0.0180142,-0.831151,-0.555755,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.28,-0.0305758,-0.771428,-0.635582,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.38,-0.0392537,-0.70413,-0.708986,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.48,-0.0484919,-0.629045,-0.775855,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.58,-0.0550704,-0.547081,-0.835266,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.68,-0.0597006,-0.459973,-0.885924,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.78,-0.0615048,-0.369555,-0.927171,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.88,-0.062141,-0.276277,-0.959067,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.98,-0.0628631,-0.180398,-0.981583,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.08,-0.0634105,-0.082765,-0.99455,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.17,-0.0635942,-0.0224894,-0.997722,0,0,1,-7.81837e-07,-0.040334,0.999186,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.27,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.000123871,-0.140404,0.990094,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.37,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00060402,-0.240522,0.970644,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.47,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00176926,-0.334717,0.942317,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
