time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
0.98,0.00816973,-0.830044,0.557638,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1.98,0.00261121,-0.923994,-0.382399,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2.98,-0.0628631,-0.180398,-0.981583,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.97,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00173843,-0.731763,0.681557,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.97,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0461434,-0.972406,-0.228688,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.97,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0258737,-0.331067,-0.943252,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.96,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0110665,-0.628343,0.777857,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.96,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0294578,-0.993048,-0.113965,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.96,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0418208,-0.438507,-0.897754,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9.95,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00429582,-0.50809,0.861293,0,0,1,0,0,1,0,0,1
10.95,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0230856,-0.999271,0.0303944,0,0,1,0,0,1,0,0,1
11.95,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0145262,-0.557712,-0.829907,0,0,1,0,0,1,0,0,1
12.94,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.00381563,-0.389569,0.920989,0,0,1
13.94,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.0465598,-0.98302,0.177492,0,0,1
14.94,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.0120451,-0.680856,-0.732318,0,0,1
15.93,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.234216,-0.000149037,0.972184
16.93,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.948558,-0.0222639,0.31582
17.92,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.999134,-0.0361189,-0.0206369
18.92,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.999134,-0.0361189,-0.0206369
19.92,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.999134,-0.0361189,-0.0206369
20.91,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.863824,-0.0336759,-0.502666
21.91,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,0.0351297,-0.0121321,-0.999309
22.9,-0.0481035,0.78236,-0.620966,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
23.9,-0.0153122,0.938348,0.345353,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
24.9,-0.00729679,0.237013,0.971479,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
25.89,-0.00621826,0.012994,0.999896,0,0,1,-0.0208445,0.67832,-0.734471,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
26.89,-0.00621826,0.012994,0.999896,0,0,1,-0.0494548,0.984344,0.169176,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
27.89,-0.00621826,0.012994,0.999896,0,0,1,0.00811823,0.415838,0.909402,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
28.88,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.0365714,0.619754,-0.783944,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
29.88,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.147248,0.983762,0.102618,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
30.88,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.22247,0.423261,0.878269,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
31.87,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.235472,-0.095415,0.967186,0,0,1,0.00456859,0.484183,-0.874955,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
32.87,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.235472,-0.095415,0.967186,0,0,1,-0.106369,0.993206,-0.047205,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
33.87,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.235472,-0.095415,0.967186,0,0,1,-0.241721,0.523974,0.816715,0,0,1,-0.00865695,0.0105133,-0.999907,-0.0383959,-0.0121445,-0.999189
34.86,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.235472,-0.095415,0.967186,0,0,1,-0.258384,-0.10996,0.959764,0,0,1,-0.00702726,0.324467,-0.945871,-0.0383959,-0.0121445,-0.999189
35.86,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.235472,-0.095415,0.967186,0,0,1,-0.258384,-0.10996,0.959764,0,0,1,0.0387097,0.964471,-0.261338,-0.0383959,-0.0121445,-0.999189
36.86,-0.00621826,0.012994,0.999896,0,0,1,0.0181551,0.059202,0.998081,0,0,1,0.235472,-0.095415,0.967186,0,0,1,-0.258384,-0.10996,0.959764,0,0,1,0.129365,0.73854,0.661683,-0.0383959,-0.0121445,-0.999189
37.85,0.18155,0.013542,0.983288,0.187759,0.000587625,0.982215,0.204856,0.0599023,0.976957,0.187759,0.000587625,0.982215,0.413482,-0.0933533,0.905714,0.187759,0.000587625,0.982215,-0.0728827,-0.11103,0.991141,0.187759,0.000587625,0.982215,0.323902,-0.00765042,0.94606,-0.225242,-0.0129746,-0.974216
38.85,0.928849,0.0448992,0.367728,0.931715,0.0321013,0.361768,0.934086,0.0917135,0.345067,0.931715,0.0321013,0.361768,0.989989,-0.0574383,0.128927,0.931715,0.0321013,0.361768,0.805413,-0.0865522,0.58636,0.931715,0.0321013,0.361768,0.973504,0.0267479,0.227102,-0.944327,-0.0453236,-0.325872
39.84,0.998768,0.0490354,0.00758313,0.999096,0.0422112,-0.00509938,0.994811,0.100609,0.0151381,0.999096,0.0422112,-0.00509938,0.962451,0.102428,-0.25139,0.999096,0.0422112,-0.00509938,0.969807,-0.200365,0.139024,0.999096,0.0422112,-0.00509938,0.985361,0.117115,-0.123888,-0.996794,-0.0745846,0.0289544
40.84,0.999385,-0.0195131,0.0291451,0.999783,-0.0128294,0.01639,0.997089,0.0031893,0.0761756,0.999783,-0.0128294,0.01639,0.971462,0.226351,-0.0708957,0.999783,-0.0128294,0.01639,0.95825,-0.266517,-0.103568,0.999783,-0.0128294,0.01639,0.991701,0.12798,0.0122364,-0.999237,-0.0251079,-0.0299123
41.84,0.997121,-0.0739137,-0.0169163,0.998063,-0.0595732,-0.0179088,0.994415,-0.102004,0.027085,0.998063,-0.0595732,-0.0179088,0.979995,0.140904,0.140554,0.998063,-0.0595732,-0.0179088,0.951033,-0.0884364,-0.296167,0.998063,-0.0595732,-0.0179088,0.994828,0.0178953,0.0999811,-0.998455,0.0512328,-0.0214952
42.83,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,-0.895343,0.0677525,0.440195
43.83,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,-0.1097,0.0693497,0.991543
44.82,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,0.0189109,0.0692508,0.99742
45.82,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,0.0189109,0.0692508,0.99742
46.82,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,0.0189109,0.0692508,0.99742
47.81,0.996924,-0.0550504,-0.0557909,0.997895,-0.0422971,-0.0491628,0.994245,-0.101962,-0.0328849,0.997895,-0.0422971,-0.0491628,0.980575,0.0461544,0.190638,0.997895,-0.0422971,-0.0491628,0.950249,0.0782062,-0.301514,0.997895,-0.0422971,-0.0491628,0.995062,-0.0376637,0.0918349,0.679338,0.0743743,0.730046
