time , x         , y           , z
0    , 0         , 0           , 1
0.001, 0.001     , -1.25e-07   , 1
0.002, 0.002     , -5e-07      , 0.999998
0.003, 0.003     , -1.125e-06  , 0.999996
0.004, 0.00399999, -2e-06      , 0.999992
0.005, 0.00499998, -3.12499e-06, 0.999988
0.006, 0.00599996, -4.49999e-06, 0.999982
0.007, 0.00699994, -6.12497e-06, 0.999976
0.008, 0.00799991, -7.99995e-06, 0.999968
0.009, 0.00899987, -1.01249e-05, 0.99996
0.01 , 0.00999982, -1.24999e-05, 0.99995
0.011, 0.0109998 , -1.51248e-05, 0.99994
0.012, 0.0119997 , -1.79998e-05, 0.999928
0.013, 0.0129996 , -2.11247e-05, 0.999916
0.014, 0.0139995 , -2.44996e-05, 0.999902
0.015, 0.0149994 , -2.81244e-05, 0.999888
0.016, 0.0159993 , -3.19993e-05, 0.999872
0.017, 0.0169991 , -3.61241e-05, 0.999856
0.018, 0.017999  , -4.04988e-05, 0.999838
0.019, 0.0189988 , -4.51236e-05, 0.99982
0.02 , 0.0199986 , -4.99982e-05, 0.9998
0.021, 0.0209984 , -5.51228e-05, 0.99978
0.022, 0.0219981 , -6.04974e-05, 0.999758
0.023, 0.0229978 , -6.61219e-05, 0.999736
0.024, 0.0239976 , -7.19963e-05, 0.999712
0.025, 0.0249972 , -7.81207e-05, 0.999688
0.026, 0.0259969 , -8.44949e-05, 0.999662
0.027, 0.0269965 , -9.11191e-05, 0.999636
0.028, 0.0279961 , -9.79932e-05, 0.999608
0.029, 0.0289957 , -0.000105117, 0.99958
0.03 , 0.0299952 , -0.000112491, 0.99955
0.031, 0.0309947 , -0.000120115, 0.99952
0.032, 0.0319942 , -0.000127988, 0.999488
0.033, 0.0329936 , -0.000136112, 0.999456
0.034, 0.033993  , -0.000144485, 0.999422
0.035, 0.0349924 , -0.000153108, 0.999388
0.036, 0.0359917 , -0.000161981, 0.999352
0.037, 0.036991  , -0.000171104, 0.999316
0.038, 0.0379903 , -0.000180477, 0.999278
0.039, 0.0389895 , -0.000190099, 0.99924
0.04 , 0.0399887 , -0.000199972, 0.9992
0.041, 0.0409878 , -0.000210094, 0.99916
0.042, 0.0419869 , -0.000220466, 0.999118
0.043, 0.0429859 , -0.000231087, 0.999076
0.044, 0.0439849 , -0.000241959, 0.999032
0.045, 0.0449839 , -0.00025308 , 0.998988
0.046, 0.0459828 , -0.00026445 , 0.998942
0.047, 0.0469816 , -0.000276071, 0.998896
0.048, 0.0479804 , -0.000287941, 0.998848
0.049, 0.0489792 , -0.000300061, 0.9988
0.05 , 0.0499779 , -0.000312431, 0.99875
0.051, 0.0509765 , -0.00032505 , 0.9987
0.052, 0.0519751 , -0.000337919, 0.998648
