time,x,y,z
0,0,0,1
0.001,0.001,-4.75e-08,1
0.002,0.002,-1.9e-07,0.999998
0.003,0.003,-4.275e-07,0.999996
0.004,0.00399999,-7.59999e-07,0.999992
0.005,0.00499998,-1.1875e-06,0.999988
0.006,0.00599996,-1.70999e-06,0.999982
0.007,0.00699994,-2.32749e-06,0.999976
0.008,0.00799991,-3.03998e-06,0.999968
0.009,0.00899988,-3.84747e-06,0.99996
0.01,0.00999983,-4.74996e-06,0.99995
0.011,0.0109998,-5.74744e-06,0.99994
0.012,0.0119997,-6.83992e-06,0.999928
0.013,0.0129996,-8.02739e-06,0.999916
0.014,0.0139995,-9.30985e-06,0.999902
0.015,0.0149994,-1.06873e-05,0.999888
0.016,0.0159993,-1.21597e-05,0.999872
0.017,0.0169992,-1.37272e-05,0.999856
0.018,0.017999,-1.53896e-05,0.999838
0.019,0.0189988,-1.7147e-05,0.99982
0.02,0.0199987,-1.89994e-05,0.9998
0.021,0.0209984,-2.09467e-05,0.99978
0.022,0.0219982,-2.29891e-05,0.999758
0.023,0.022998,-2.51264e-05,0.999736
0.024,0.0239977,-2.73587e-05,0.999712
0.025,0.0249974,-2.96859e-05,0.999688
0.026,0.025997,-3.21082e-05,0.999662
0.027,0.0269967,-3.46254e-05,0.999636
0.028,0.0279963,-3.72375e-05,0.999608
0.029,0.0289959,-3.99447e-05,0.99958
0.03,0.0299955,-4.27468e-05,0.99955
0.031,0.030995,-4.56438e-05,0.99952
0.032,0.0319945,-4.86358e-05,0.999488
0.033,0.032994,-5.17228e-05,0.999456
0.034,0.0339934,-5.49047e-05,0.999422
0.035,0.0349928,-5.81815e-05,0.999388
0.036,0.0359922,-6.15533e-05,0.999352
0.037,0.0369915,-6.502e-05,0.999316
0.038,0.0379908,-6.85817e-05,0.999278
0.039,0.03899,-7.22383e-05,0.99924
0.04,0.0399892,-7.59898e-05,0.9992
0.041,0.0409884,-7.98362e-05,0.99916
0.042,0.0419875,-8.37776e-05,0.999118
0.043,0.0429866,-8.78138e-05,0.999076
0.044,0.0439857,-9.1945e-05,0.999032
0.045,0.0449847,-9.61711e-05,0.998988
0.046,0.0459836,-0.000100492,0.998942
0.047,0.0469825,-0.000104908,0.998896
0.048,0.0479814,-0.000109419,0.998848
0.049,0.0489802,-0.000114024,0.9988
0.05,0.049979,-0.000118725,0.99875
0.051,0.0509777,-0.00012352,0.9987
0.052,0.0519764,-0.000128411,0.998648
0.053,0.052975,-0.000133396,0.998596
0.054,0.0539735,-0.000138476,0.998542
0.055,0.054972,-0.000143651,0.998488
0.056,0.0559705,-0.000148921,0.998432
0.057,0.0569689,-0.000154285,0.998376
0.058,0.0579672,-0.000159745,0.998318
0.059,0.0589655,-0.000165299,0.99826
0.06,0.0599637,-0.000170948,0.998201
0.061,0.0609618,-0.000176692,0.99814
