time,x,y,z,microwave_val
0,0,0,1,6.12303e-17
0.001,0.001,-1.30349e-06,1,-0.00999983
0.002,0.00199999,-5.40485e-06,1,-0.0199987
0.003,0.003,-2.41041e-06,0.999999,-0.0299955
0.004,0.004,1.69462e-05,1.00001,-0.0399893
0.005,0.00500003,1.63185e-05,1.00001,-0.0499792
0.006,0.00600002,1.93642e-05,1,-0.059964
0.007,0.00700007,5.06568e-06,0.999996,-0.0699428
0.008,0.00800003,-2.18238e-05,0.999989,-0.0799147
0.009,0.00900002,-1.85605e-05,0.999981,-0.0898785
0.01,0.01,5.98833e-06,0.999971,-0.0998334
0.011,0.011,1.89548e-05,0.999962,-0.109778
0.012,0.0119999,7.77015e-06,0.999951,-0.119712
0.013,0.0129998,3.1574e-05,0.999937,-0.129634
0.014,0.0139999,1.61668e-06,0.999928,-0.139543
0.015,0.0149998,3.54726e-05,0.999914,-0.149438
0.016,0.0159997,1.33702e-05,0.999901,-0.159318
0.017,0.0169996,4.7873e-05,0.999885,-0.169182
0.018,0.0179995,2.59741e-05,0.999868,-0.17903
0.019,0.0189993,3.01265e-05,0.999848,-0.188859
0.02,0.0199992,1.82914e-05,0.999829,-0.198669
0.021,0.0209988,0.000118316,0.999812,-0.20846
0.022,0.021999,3.12045e-05,0.999798,-0.21823
0.023,0.0229989,-9.30238e-06,0.999777,-0.227978
0.024,0.0239986,4.60924e-05,0.999753,-0.237703
0.025,0.0249983,7.17032e-05,0.999729,-0.247404
0.026,0.0259976,0.000163331,0.999706,-0.257081
0.027,0.0269969,0.000218922,0.999679,-0.266731
0.028,0.0279935,0.000468245,0.999652,-0.276356
0.029,0.0289942,0.000402682,0.999626,-0.285952
0.03,0.029994,0.00038535,0.999596,-0.29552
0.031,0.0309917,0.000521847,0.999569,-0.305059
0.032,0.0319918,0.000489454,0.99954,-0.314567
0.033,0.0329904,0.000552475,0.999509,-0.324043
0.034,0.0339901,0.000541927,0.999478,-0.333487
0.035,0.0349902,0.000505166,0.999445,-0.342898
0.036,0.0359874,0.000651464,0.999413,-0.352274
0.037,0.0369845,0.000766401,0.999376,-0.361615
0.038,0.0379822,0.000843391,0.999339,-0.37092
0.039,0.0389801,0.000901993,0.999298,-0.380188
0.04,0.0399806,0.000848255,0.999259,-0.389418
0.041,0.0409821,0.000755091,0.999231,-0.398609
0.042,0.0419805,0.000810534,0.999194,-0.40776
0.043,0.0429821,0.000669709,0.999151,-0.416871
0.044,0.0439848,0.000408941,0.999113,-0.425939
0.045,0.0449847,0.000296734,0.999069,-0.434966
0.046,0.0459845,0.000211604,0.999028,-0.443948
0.047,0.0469839,9.20782e-05,0.998982,-0.452886
0.048,0.0479831,0.000103049,0.998941,-0.461779
0.049,0.0489819,0.000171821,0.998894,-0.470626
0.05,0.0499808,0.000152349,0.998844,-0.479426
0.051,0.0509798,0.000124542,0.998795,-0.488177
0.052,0.0519783,0.000252199,0.998746,-0.49688
0.053,0.0529767,0.000284651,0.998692,-0.505533
0.054,0.053974,0.000498285,0.998641,-0.514136
0.055,0.0549738,0.000348473,0.998588,-0.522687
0.056,0.0559719,0.00042496,0.998533,-0.531186
0.057,0.0569716,0.000210889,0.998477,-0.539632
0.058,0.0579696,0.000319157,0.99842,-0.548024
0.059,0.0589678,0.000351531,0.998362,-0.556361
0.06,0.0599656,0.00043259,0.998302,-0.564642
0.061,0.0609644,0.000361257,0.998242,-0.572867
0.062,0.0619631,0.00029152,0.998183,-0.581035
0.063,0.0629619,-6.70869e-05,0.998121,-0.589145
0.064,0.0639587,-0.000415686,0.998058,-0.597195
0.065,0.0649567,-0.000426842,0.997994,-0.605186
0.066,0.0659533,-0.000658883,0.997937,-0.613117
0.067,0.0669514,-0.000648212,0.997872,-0.620986
0.068,0.0679502,-0.000539787,0.997805,-0.628793
0.069,0.0689489,-0.000448395,0.997741,-0.636537
0.07,0.0699463,-0.000512525,0.997672,-0.644218
0.071,0.0709419,-0.000738865,0.997602,-0.651834
0.072,0.0719349,-0.00110069,0.997531,-0.659385
0.073,0.0729264,-0.00147523,0.997469,-0.66687
0.074,0.0739244,-0.00144943,0.997395,-0.674288
0.075,0.0749187,-0.00159546,0.99732,-0.681639
0.076,0.0759175,-0.00153364,0.997248,-0.688921
0.077,0.0769127,-0.00162193,0.997169,-0.696135
0.078,0.0779132,-0.00145479,0.997093,-0.703279
0.079,0.0789074,-0.00158932,0.997011,-0.710353
0.08,0.0799028,-0.00166717,0.996932,-0.717356
