time,x,y,z
0,0,0,1
0.001,0.001,-1.35143e-06,1
0.002,0.00199999,-5.30036e-06,1
0.003,0.00299999,-4.60267e-06,0.999997
0.004,0.00399999,6.38021e-06,0.999997
0.005,0.00499994,2.10306e-05,0.999993
0.006,0.00599995,1.67877e-05,0.999987
0.007,0.00699997,1.0572e-06,0.999983
0.008,0.00799991,-2.36294e-05,0.999975
0.009,0.00899992,-6.85213e-06,0.999967
0.01,0.00999985,2.4988e-05,0.999958
0.011,0.0109998,3.93287e-05,0.999947
0.012,0.0119997,3.12642e-05,0.999937
0.013,0.0129995,7.29666e-05,0.999926
0.014,0.0139995,6.19912e-05,0.999914
0.015,0.0149993,8.20837e-05,0.9999
0.016,0.0159994,5.96717e-05,0.999888
0.017,0.0169991,0.000102798,0.999872
0.018,0.0179991,6.54732e-05,0.999857
0.019,0.0189991,1.20337e-05,0.99984
0.02,0.0199989,3.54983e-05,0.99982
0.021,0.0209985,0.000106234,0.999801
0.022,0.0219987,4.2746e-05,0.999789
0.023,0.0229985,2.93554e-05,0.999766
0.024,0.0239983,4.94022e-05,0.999743
0.025,0.0249977,0.000136539,0.999721
0.026,0.0259972,0.000189249,0.999698
0.027,0.0269958,0.000306458,0.999675
0.028,0.0279929,0.000489247,0.999648
0.029,0.0289919,0.000522105,0.999619
0.03,0.0299923,0.000477602,0.999591
0.031,0.0309905,0.000558756,0.999562
0.032,0.0319903,0.000549732,0.999532
0.033,0.0329894,0.000577661,0.999501
0.034,0.0339876,0.000657631,0.999473
0.035,0.0349867,0.000687266,0.999446
0.036,0.0359852,0.00072566,0.999406
0.037,0.0369818,0.000859547,0.999371
0.038,0.0379797,0.000919567,0.999334
0.039,0.0389745,0.00110348,0.999303
0.04,0.0399745,0.00107896,0.999266
0.041,0.040977,0.00097888,0.999241
0.042,0.0419774,0.000928491,0.999201
0.043,0.0429789,0.000822792,0.999162
0.044,0.0439811,0.000645474,0.99912
0.045,0.0449812,0.000575929,0.999076
0.046,0.0459814,0.000487567,0.999034
0.047,0.0469815,0.000371203,0.998988
0.048,0.047981,0.000330002,0.998945
0.049,0.0489788,0.000469717,0.998896
0.05,0.0499788,0.000337606,0.998848
0.051,0.0509781,0.000267845,0.9988
0.052,0.0519768,0.000333826,0.998754
0.053,0.0529762,0.000281739,0.998707
0.054,0.0539738,0.000447155,0.998655
0.055,0.0549729,0.000382036,0.998601
0.056,0.0559716,0.000382194,0.998548
0.057,0.0569709,0.000265473,0.998493
0.058,0.0579698,0.000219036,0.998439
0.059,0.0589676,0.000362017,0.998383
0.06,0.0599663,0.000294259,0.998323
0.061,0.060965,0.000243402,0.998266
0.062,0.0619636,0.00015729,0.998206
0.063,0.0629617,-0.00021083,0.998143
0.064,0.0639582,-0.000489262,0.99808
0.065,0.0649556,-0.000579715,0.998016
0.066,0.0659511,-0.000838782,0.997956
0.067,0.0669488,-0.000871146,0.997892
0.068,0.0679467,-0.000873089,0.997826
0.069,0.0689472,-0.000634904,0.997759
0.07,0.0699443,-0.000726817,0.997693
0.071,0.0709409,-0.00082223,0.997623
0.072,0.0719338,-0.00115841,0.997551
0.073,0.0729288,-0.00133334,0.997485
0.074,0.0739276,-0.00125644,0.997411
0.075,0.0749192,-0.00155774,0.997336
0.076,0.0759172,-0.00152874,0.997263
0.077,0.0769071,-0.00185977,0.997187
0.078,0.0779087,-0.00166493,0.99711
0.079,0.0788976,-0.00202257,0.997034
0.08,0.0798957,-0.00197707,0.996954
0.081,0.0808934,-0.00194731,0.996874
0.082,0.0818859,-0.00211856,0.996793
0.083,0.0828806,-0.00219949,0.996711
0.084,0.0838772,-0.00219776,0.996626
0.085,0.0848693,-0.00236716,0.996542
0.086,0.0858679,-0.00228704,0.996457
0.087,0.0868727,-0.00194462,0.996371
0.088,0.0878778,-0.001508,0.996284
