time,x,y,z
0,0,0,1
0.001,-8.75e-08,-0.001,1
0.002,-3.5e-07,-0.002,0.999998
0.003,-7.87499e-07,-0.003,0.999996
0.004,-1.4e-06,-0.00399999,0.999992
0.005,-2.1875e-06,-0.00499998,0.999988
0.006,-3.14999e-06,-0.00599996,0.999982
0.007,-4.28748e-06,-0.00699994,0.999976
0.008,-5.59997e-06,-0.00799991,0.999968
0.009,-7.08745e-06,-0.00899987,0.99996
0.01,-8.74992e-06,-0.00999983,0.99995
0.011,-1.05874e-05,-0.0109998,0.99994
0.012,-1.25998e-05,-0.0119997,0.999928
0.013,-1.47873e-05,-0.0129996,0.999916
0.014,-1.71497e-05,-0.0139995,0.999902
0.015,-1.96871e-05,-0.0149994,0.999888
0.016,-2.23995e-05,-0.0159993,0.999872
0.017,-2.52869e-05,-0.0169992,0.999856
0.018,-2.83492e-05,-0.017999,0.999838
0.019,-3.15865e-05,-0.0189988,0.99982
0.02,-3.49988e-05,-0.0199986,0.9998
0.021,-3.8586e-05,-0.0209984,0.99978
0.022,-4.23482e-05,-0.0219982,0.999758
0.023,-4.62854e-05,-0.0229979,0.999736
0.024,-5.03975e-05,-0.0239976,0.999712
0.025,-5.46846e-05,-0.0249973,0.999688
0.026,-5.91466e-05,-0.025997,0.999662
0.027,-6.37835e-05,-0.0269966,0.999636
0.028,-6.85954e-05,-0.0279962,0.999608
0.029,-7.35822e-05,-0.0289958,0.99958
0.03,-7.87439e-05,-0.0299954,0.99955
0.031,-8.40806e-05,-0.0309949,0.99952
0.032,-8.95921e-05,-0.0319944,0.999488
0.033,-9.52786e-05,-0.0329938,0.999456
0.034,-0.00010114,-0.0339932,0.999422
0.035,-0.000107176,-0.0349926,0.999388
0.036,-0.000113387,-0.035992,0.999352
0.037,-0.000119773,-0.0369913,0.999316
0.038,-0.000126334,-0.0379906,0.999278
0.039,-0.00013307,-0.0389898,0.99924
0.04,-0.000139981,-0.039989,0.9992
0.041,-0.000147066,-0.0409882,0.99916
0.042,-0.000154327,-0.0419873,0.999118
0.043,-0.000161762,-0.0429863,0.999076
0.044,-0.000169372,-0.0439854,0.999032
0.045,-0.000177157,-0.0449843,0.998988
0.046,-0.000185116,-0.0459833,0.998942
0.047,-0.000193251,-0.0469822,0.998896
0.048,-0.00020156,-0.047981,0.998848
0.049,-0.000210044,-0.0489798,0.9988
0.05,-0.000218703,-0.0499785,0.99875
0.051,-0.000227537,-0.0509772,0.9987
0.052,-0.000236545,-0.0519759,0.998648
0.053,-0.000245728,-0.0529744,0.998596
0.054,-0.000255086,-0.053973,0.998542
0.055,-0.000264619,-0.0549714,0.998488
0.056,-0.000274326,-0.0559698,0.998432
0.057,-0.000284208,-0.0569682,0.998376
0.058,-0.000294265,-0.0579665,0.998318
0.059,-0.000304496,-0.0589647,0.99826
0.06,-0.000314903,-0.0599629,0.998201
0.061,-0.000325483,-0.060961,0.99814
0.062,-0.000336239,-0.0619591,0.998079
0.063,-0.000347169,-0.0629571,0.998016
0.064,-0.000358274,-0.063955,0.997953
0.065,-0.000369553,-0.0649528,0.997888
0.066,-0.000381007,-0.0659506,0.997823
0.067,-0.000392636,-0.0669483,0.997756
0.068,-0.000404439,-0.067946,0.997689
0.069,-0.000416417,-0.0689436,0.99762
0.07,-0.00042857,-0.0699411,0.997551
0.071,-0.000440897,-0.0709385,0.997481
0.072,-0.000453398,-0.0719359,0.997409
0.073,-0.000466074,-0.0729332,0.997337
0.074,-0.000478925,-0.0739304,0.997263
0.075,-0.00049195,-0.0749276,0.997189
0.076,-0.000505149,-0.0759246,0.997113
0.077,-0.000518523,-0.0769216,0.997037
0.078,-0.000532072,-0.0779185,0.99696
0.079,-0.000545795,-0.0789153,0.996881
0.08,-0.000559692,-0.0799121,0.996802
0.081,-0.000573764,-0.0809087,0.996721
0.082,-0.00058801,-0.0819053,0.99664
0.083,-0.000602431,-0.0829018,0.996558
0.084,-0.000617026,-0.0838982,0.996474
0.085,-0.000631795,-0.0848946,0.99639
0.086,-0.000646739,-0.0858908,0.996304
0.087,-0.000661857,-0.0868869,0.996218
0.088,-0.000677149,-0.087883,0.996131
0.089,-0.000692616,-0.088879,0.996042
0.09,-0.000708257,-0.0898748,0.995953
0.091,-0.000724072,-0.0908706,0.995862
0.092,-0.000740062,-0.0918663,0.995771
0.093,-0.000756226,-0.0928619,0.995679
0.094,-0.000772563,-0.0938574,0.995585
0.095,-0.000789076,-0.0948528,0.995491
0.096,-0.000805762,-0.0958481,0.995396
0.097,-0.000822622,-0.0968433,0.995299
0.098,-0.000839657,-0.0978384,0.995202
0.099,-0.000856866,-0.0988334,0.995104
0.1,-0.000874249,-0.0998283,0.995004
0.101,-0.000891806,-0.100823,0.994904
0.102,-0.000909537,-0.101818,0.994803
0.103,-0.000927442,-0.102812,0.9947
0.104,-0.000945521,-0.103807,0.994597
0.105,-0.000963774,-0.104801,0.994493
0.106,-0.000982202,-0.105796,0.994387
0.107,-0.0010008,-0.10679,0.994281
0.108,-0.00101958,-0.107784,0.994174
0.109,-0.00103853,-0.108778,0.994066
0.11,-0.00105765,-0.109772,0.993956
0.111,-0.00107695,-0.110765,0.993846
0.112,-0.00109642,-0.111759,0.993735
0.113,-0.00111606,-0.112752,0.993622
0.114,-0.00113588,-0.113746,0.993509
0.115,-0.00115587,-0.114739,0.993395
0.116,-0.00117604,-0.115732,0.99328
0.117,-0.00119638,-0.116725,0.993164
0.118,-0.00121689,-0.117718,0.993046
0.119,-0.00123758,-0.118711,0.992928
0.12,-0.00125844,-0.119703,0.992809
0.121,-0.00127948,-0.120696,0.992689
0.122,-0.00130069,-0.121688,0.992568
0.123,-0.00132207,-0.122681,0.992445
0.124,-0.00134362,-0.123673,0.992322
0.125,-0.00136535,-0.124665,0.992198
0.126,-0.00138726,-0.125657,0.992073
0.127,-0.00140933,-0.126648,0.991947
0.128,-0.00143158,-0.12764,0.99182
0.129,-0.00145401,-0.128632,0.991691
