time,x,y,z,microwave_val
0,0,0,1,1
0.001,-2.98026e-07,-0.001,1,0.99995
0.002,-1.3902e-07,-0.00200001,1,0.9998
0.003,1.31496e-05,-0.00299999,1,0.99955
0.004,1.01071e-05,-0.00399999,0.999999,0.9992
0.005,-1.58129e-05,-0.00499998,0.999996,0.99875
0.006,-4.04707e-05,-0.00599987,0.999993,0.998201
0.007,-5.03279e-05,-0.00699979,0.999987,0.997551
0.008,-4.06276e-05,-0.00799985,0.999982,0.996802
0.009,-2.13898e-05,-0.0089999,0.999974,0.995953
0.01,-1.82859e-05,-0.00999992,0.999968,0.995004
0.011,-1.10171e-05,-0.0109999,0.999958,0.993956
0.012,-3.09969e-05,-0.0119998,0.999946,0.992809
0.013,-3.89711e-05,-0.0129997,0.99993,0.991562
0.014,-3.80286e-05,-0.0139996,0.999917,0.990216
0.015,-4.67253e-05,-0.0149996,0.999911,0.988771
0.016,-4.96291e-05,-0.0159996,0.9999,0.987227
0.017,-7.14847e-05,-0.0169994,0.999885,0.985585
0.018,-0.000119371,-0.017999,0.999868,0.983844
0.019,-0.000113905,-0.018999,0.999852,0.982004
0.02,-7.98753e-05,-0.019999,0.999833,0.980067
0.021,-2.37843e-06,-0.020999,0.999812,0.978031
0.022,-4.50138e-05,-0.0219988,0.999796,0.975897
0.023,8.65382e-06,-0.0229987,0.999775,0.973666
0.024,9.87333e-05,-0.0239984,0.999756,0.971338
0.025,7.54342e-05,-0.0249984,0.99974,0.968912
0.026,0.000130149,-0.0259979,0.999714,0.96639
0.027,0.00012319,-0.0269977,0.999689,0.963771
0.028,1.59348e-05,-0.0279976,0.999662,0.961055
0.029,6.76599e-05,-0.0289973,0.999637,0.958244
0.03,5.38833e-05,-0.029997,0.999608,0.955336
0.031,0.000127471,-0.0309964,0.999581,0.952334
0.032,0.000144549,-0.0319961,0.999553,0.949235
0.033,0.000112895,-0.0329957,0.99952,0.946042
0.034,0.000256032,-0.0339944,0.999487,0.942755
0.035,4.12629e-05,-0.0349948,0.999453,0.939373
0.036,0.000217656,-0.0359937,0.999418,0.935897
0.037,0.000166684,-0.0369933,0.999381,0.932327
0.038,0.000216221,-0.0379923,0.99934,0.928665
0.039,0.000331726,-0.0389908,0.999302,0.924909
0.04,0.000281952,-0.0399905,0.999263,0.921061
0.041,0.000417926,-0.0409886,0.999223,0.917121
0.042,0.000285697,-0.0419889,0.999182,0.913089
0.043,0.000248185,-0.042989,0.999156,0.908966
0.044,0.000167617,-0.0439887,0.999116,0.904752
0.045,0.000286666,-0.0449873,0.999073,0.900447
0.046,0.000209346,-0.0459868,0.999029,0.896052
0.047,0.000274435,-0.0469854,0.998982,0.891568
0.048,0.000145917,-0.0479851,0.998936,0.886995
0.049,0.000177308,-0.048984,0.99889,0.882333
0.05,0.000335297,-0.049982,0.998841,0.877583
0.051,0.000236866,-0.0509814,0.99879,0.872745
0.052,0.000174738,-0.0519804,0.998738,0.867819
0.053,0.000166767,-0.0529791,0.998686,0.862807
0.054,7.30571e-05,-0.0539781,0.998633,0.857709
0.055,3.5349e-05,-0.0549768,0.99858,0.852525
