time,x,y,z
0,0,0,1
0.001,-2.95543e-07,-0.001,1
0.002,-3.24794e-08,-0.002,0.999998
0.003,2.70094e-06,-0.003,0.999996
0.004,3.96186e-06,-0.00399999,0.999992
0.005,1.41042e-06,-0.00499998,0.999988
0.006,-4.88293e-06,-0.00599996,0.999983
0.007,-7.4221e-06,-0.00699994,0.999976
0.008,-5.01871e-06,-0.00799992,0.999969
0.009,3.58164e-08,-0.00899988,0.99996
0.01,3.61143e-06,-0.00999984,0.999951
0.011,-1.38661e-06,-0.0109998,0.99994
0.012,-3.74967e-07,-0.0119997,0.999929
0.013,-1.2681e-05,-0.0129996,0.999916
0.014,-1.78194e-05,-0.0139995,0.999903
0.015,-1.60695e-05,-0.0149994,0.999889
0.016,-1.50888e-05,-0.0159993,0.999873
0.017,-1.77002e-05,-0.0169992,0.999857
0.018,-2.27317e-05,-0.017999,0.999839
0.019,-2.6156e-05,-0.0189989,0.999821
0.02,-2.15987e-05,-0.0199987,0.999801
0.021,-4.14437e-07,-0.0209985,0.999781
0.022,-6.40876e-06,-0.0219983,0.99976
0.023,8.84198e-06,-0.022998,0.999737
0.024,2.40891e-05,-0.0239977,0.999714
0.025,1.16817e-05,-0.0249975,0.99969
0.026,7.42481e-06,-0.0259971,0.999665
0.027,7.26479e-06,-0.0269968,0.999638
0.028,-6.97912e-06,-0.0279964,0.999611
0.029,2.14726e-06,-0.028996,0.999582
0.03,-1.08525e-05,-0.0299956,0.999553
0.031,1.9715e-05,-0.0309951,0.999522
0.032,1.50623e-05,-0.0319946,0.999491
0.033,3.60731e-05,-0.0329941,0.999459
0.034,7.00211e-05,-0.0339935,0.999425
0.035,5.87916e-06,-0.034993,0.999391
0.036,2.41984e-05,-0.0359923,0.999355
0.037,1.83141e-05,-0.0369917,0.999319
0.038,-4.45665e-06,-0.037991,0.999281
0.039,2.40009e-05,-0.0389902,0.999243
0.04,3.06797e-05,-0.0399895,0.999204
0.041,5.32054e-05,-0.0409886,0.999163
0.042,9.46541e-06,-0.0419878,0.999122
0.043,7.92348e-06,-0.0429869,0.99908
0.044,-1.8632e-05,-0.043986,0.999037
0.045,-7.74024e-06,-0.044985,0.998992
0.046,-2.80694e-05,-0.045984,0.998947
0.047,-5.3878e-05,-0.0469829,0.9989
0.048,-5.55869e-05,-0.0479818,0.998853
0.049,-6.02834e-05,-0.0489806,0.998805
0.05,-2.8434e-05,-0.0499794,0.998755
0.051,-2.76468e-05,-0.0509781,0.998705
0.052,-6.35025e-05,-0.0519768,0.998653
0.053,-5.89946e-05,-0.0529754,0.998601
0.054,-7.4576e-05,-0.053974,0.998547
0.055,-8.5568e-05,-0.0549725,0.998493
0.056,-8.74684e-05,-0.0559709,0.998438
0.057,-0.000115272,-0.0569693,0.998381
0.058,-0.000162753,-0.0579676,0.998324
0.059,-0.000185401,-0.0589658,0.998265
0.06,-0.000209907,-0.059964,0.998206
0.061,-0.000184395,-0.0609622,0.998146
0.062,-0.000200354,-0.0619603,0.998085
0.063,-0.000268616,-0.0629581,0.998022
0.064,-0.000293085,-0.063956,0.997959
0.065,-0.000272148,-0.064954,0.997895
