time,x,y,z
0,0,0,1
0.001,2.15e-07,-0.001,1
0.002,8.6e-07,-0.002,0.999998
0.003,1.935e-06,-0.00299999,0.999996
0.004,3.43999e-06,-0.00399999,0.999992
0.005,5.37499e-06,-0.00499998,0.999988
0.006,7.73997e-06,-0.00599996,0.999982
0.007,1.05349e-05,-0.00699993,0.999976
0.008,1.37599e-05,-0.0079999,0.999968
0.009,1.74149e-05,-0.00899986,0.99996
0.01,2.14998e-05,-0.0099998,0.99995
0.011,2.60147e-05,-0.0109997,0.99994
0.012,3.09596e-05,-0.0119997,0.999928
0.013,3.63344e-05,-0.0129996,0.999916
0.014,4.21392e-05,-0.0139995,0.999902
0.015,4.83739e-05,-0.0149993,0.999888
0.016,5.50386e-05,-0.0159992,0.999872
0.017,6.21332e-05,-0.016999,0.999856
0.018,6.96578e-05,-0.0179988,0.999838
0.019,7.76122e-05,-0.0189986,0.99982
0.02,8.59966e-05,-0.0199984,0.9998
0.021,9.48109e-05,-0.0209982,0.99978
0.022,0.000104055,-0.0219979,0.999758
0.023,0.000113729,-0.0229976,0.999736
0.024,0.000123833,-0.0239973,0.999712
0.025,0.000134367,-0.0249969,0.999688
0.026,0.00014533,-0.0259965,0.999662
0.027,0.000156724,-0.0269961,0.999636
0.028,0.000168547,-0.0279957,0.999608
0.029,0.0001808,-0.0289952,0.99958
0.03,0.000193483,-0.0299947,0.99955
0.031,0.000206595,-0.0309941,0.99952
0.032,0.000220138,-0.0319935,0.999488
0.033,0.00023411,-0.0329929,0.999456
0.034,0.000248512,-0.0339922,0.999422
0.035,0.000263343,-0.0349915,0.999388
0.036,0.000278604,-0.0359908,0.999352
0.037,0.000294295,-0.03699,0.999316
0.038,0.000310416,-0.0379892,0.999278
0.039,0.000326966,-0.0389883,0.99924
0.04,0.000343946,-0.0399874,0.9992
0.041,0.000361355,-0.0409864,0.99916
0.042,0.000379194,-0.0419854,0.999118
0.043,0.000397462,-0.0429843,0.999076
0.044,0.00041616,-0.0439832,0.999032
0.045,0.000435288,-0.044982,0.998988
0.046,0.000454845,-0.0459808,0.998942
0.047,0.000474831,-0.0469795,0.998896
0.048,0.000495247,-0.0479782,0.998848
0.049,0.000516093,-0.0489768,0.9988
0.05,0.000537367,-0.0499753,0.99875
0.051,0.000559071,-0.0509738,0.9987
0.052,0.000581205,-0.0519722,0.998648
0.053,0.000603768,-0.0529706,0.998596
0.054,0.00062676,-0.0539689,0.998542
0.055,0.000650181,-0.0549671,0.998488
0.056,0.000674031,-0.0559653,0.998432
0.057,0.000698311,-0.0569634,0.998376
0.058,0.00072302,-0.0579615,0.998319
